order_id,customer_id,order_datetime,billing_zip,shipping_zip,shipping_state,payment_method,device_type,ip_country,promo_used,promo_code,order_subtotal,shipping_fee,tax_amount,order_total,risk_score,is_fraud
1,1,2025-11-29 00:51:07,28289,28289,CO,card,mobile,US,false,,662.95,15.44,46.3,724.69,38.3,false
2,1,2025-09-01 10:25:59,28289,13888,NY,card,desktop,US,true,SAVE10,862.92,14.74,66.61,944.27,94.9,false
3,1,2025-12-15 07:24:41,28289,28289,CO,card,mobile,US,false,,796.09,14.04,40.72,850.85,53.8,true
4,1,2025-11-06 18:21:19,28289,28289,CO,bank,mobile,US,true,WELCOME,137.6,6.99,11.88,156.47,4.2,false
5,1,2025-11-30 05:34:15,28289,28289,CO,card,mobile,CA,false,,17.07,6.99,1.4,25.46,4.9,false
6,1,2025-12-11 10:04:54,28289,28289,CO,paypal,tablet,NG,false,,432.8,8.39,30.11,471.3,20.7,false
7,1,2025-12-05 11:53:08,28289,28289,CO,paypal,desktop,GB,false,,644.08,7.34,57.48,708.9,51.1,false
8,1,2025-11-13 16:06:51,28289,28289,CO,card,desktop,US,true,SAVE10,721.34,8.74,48.0,778.08,47.3,false
9,1,2025-09-08 01:03:20,28289,80202,NY,bank,tablet,US,false,,342.78,6.99,25.44,375.21,28.4,false
10,1,2025-08-07 07:40:47,28289,28289,CO,card,desktop,US,false,,142.09,8.39,13.28,163.76,7.0,false
11,1,2025-12-21 08:55:12,28289,28289,CO,paypal,desktop,US,false,,69.84,7.69,6.16,83.69,1.4,false
12,1,2025-09-23 15:06:50,28289,47098,WA,paypal,mobile,US,false,,696.48,7.69,64.12,768.29,83.8,false
13,1,2025-11-21 20:00:56,28289,28289,CO,bank,mobile,US,true,SAVE10,555.52,26.39,38.45,620.36,23.2,false
14,1,2025-08-01 11:30:13,28289,28289,CO,paypal,desktop,IN,false,,121.68,13.69,10.33,145.7,12.2,false
15,1,2025-12-24 15:20:03,28289,28289,CO,card,desktop,US,true,SAVE10,15.29,6.99,1.12,23.4,2.0,false
16,1,2025-09-22 06:00:37,28289,28289,CO,paypal,mobile,US,true,SAVE10,735.85,8.39,60.43,804.67,73.6,false
17,1,2025-08-13 18:35:01,28289,28289,CO,paypal,mobile,US,false,,42.64,6.99,2.3,51.93,4.1,false
