shipment_id,order_id,ship_datetime,carrier,shipping_method,distance_band,promised_days,actual_days,late_delivery
1,1,2025-11-29 09:51:07,UPS,expedited,regional,3,5,true
2,2,2025-09-02 08:25:59,FedEx,expedited,local,2,3,true
3,3,2025-12-16 13:24:41,FedEx,expedited,national,4,8,true
4,4,2025-11-07 21:21:19,UPS,standard,regional,6,6,false
5,5,2025-12-01 14:34:15,USPS,standard,regional,6,7,true
6,6,2025-12-12 12:04:54,UPS,standard,national,7,9,true
7,7,2025-12-06 13:53:08,FedEx,standard,regional,6,6,false
8,8,2025-11-13 18:06:51,USPS,standard,regional,6,8,true
9,9,2025-09-09 08:03:20,UPS,standard,national,7,7,false
10,10,2025-08-07 22:40:47,USPS,standard,local,5,5,false
11,11,2025-12-22 11:55:12,FedEx,standard,local,5,5,false
12,12,2025-09-24 21:06:50,FedEx,standard,regional,6,4,false
13,13,2025-11-22 01:00:56,USPS,overnight,local,1,4,true
14,14,2025-08-02 18:30:13,FedEx,expedited,local,2,2,false
15,15,2025-12-25 04:20:03,FedEx,standard,regional,6,7,true
16,16,2025-09-22 15:00:37,UPS,standard,regional,6,8,true
17,17,2025-08-15 06:35:01,FedEx,standard,local,5,5,false
18,18,2025-08-12 14:21:23,USPS,standard,local,5,9,true
19,19,2025-08-06 19:50:43,USPS,standard,regional,6,7,true
20,20,2025-07-23 15:27:07,UPS,standard,regional,6,6,false
21,21,2025-09-13 00:32:42,UPS,standard,regional,6,7,true
22,22,2025-07-29 08:52:44,FedEx,expedited,regional,3,2,false
23,23,2025-10-11 06:57:54,UPS,expedited,regional,3,3,false
24,24,2025-12-12 00:45:45,UPS,standard,regional,6,7,true
25,25,2025-08-10 20:06:38,FedEx,expedited,regional,3,2,false
26,26,2025-11-07 19:43:53,USPS,standard,regional,6,8,true
27,27,2026-01-02 07:38:04,FedEx,expedited,local,2,4,true
28,28,2025-08-21 12:04:46,UPS,standard,regional,6,6,false
29,29,2025-07-27 08:33:44,USPS,expedited,regional,3,3,false
30,30,2025-07-11 22:42:19,FedEx,standard,local,5,6,true
31,31,2025-10-16 08:27:29,FedEx,standard,local,5,6,true
32,32,2025-10-11 06:29:21,UPS,overnight,regional,2,2,false
33,33,2025-11-23 17:12:00,FedEx,overnight,local,1,3,true
34,34,2025-11-23 04:36:16,UPS,standard,national,7,8,true
35,35,2025-07-18 16:11:05,FedEx,standard,regional,6,6,false
36,36,2025-08-25 04:57:48,FedEx,expedited,national,4,3,false
37,37,2025-10-24 04:52:14,USPS,standard,national,7,8,true
38,38,2026-01-03 16:29:33,FedEx,standard,regional,6,5,false
39,39,2025-10-14 11:36:56,FedEx,standard,regional,6,6,false
40,40,2025-09-06 05:46:57,FedEx,standard,local,5,4,false
41,41,2025-11-09 21:08:37,FedEx,standard,local,5,6,true
42,42,2025-11-28 07:11:53,FedEx,expedited,regional,3,5,true
43,43,2025-08-15 17:55:15,UPS,standard,local,5,5,false
44,44,2025-07-29 14:45:04,UPS,expedited,local,2,4,true
45,45,2025-11-08 15:27:03,UPS,expedited,regional,3,4,true
46,46,2025-12-17 06:03:23,USPS,standard,regional,6,8,true
47,47,2025-10-14 05:40:40,USPS,standard,local,5,7,true
48,48,2025-08-31 10:29:09,USPS,standard,local,5,6,true
49,49,2025-11-29 07:19:52,UPS,standard,regional,6,7,true
50,50,2025-10-22 00:33:33,USPS,overnight,national,3,3,false
51,51,2026-01-03 16:52:55,FedEx,standard,regional,6,8,true
52,52,2025-07-20 17:40:27,USPS,standard,local,5,6,true
53,53,2025-10-10 04:53:24,UPS,standard,regional,6,4,false
54,54,2025-10-25 13:10:53,FedEx,standard,regional,6,9,true
55,55,2025-12-16 18:04:03,FedEx,standard,national,7,8,true
56,56,2025-07-31 06:47:18,FedEx,overnight,local,1,1,false
57,57,2025-07-27 22:01:19,USPS,standard,regional,6,5,false
58,58,2025-11-01 05:03:50,FedEx,standard,regional,6,6,false
59,59,2025-10-15 13:20:45,UPS,standard,local,5,5,false
60,60,2025-10-29 00:34:38,USPS,standard,national,7,8,true
